NR_SECAO;NM_LOCAL_VOTACAO
197;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
241;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
262;ESCOLA MUNICIPAL O BOM PASTOR
218;PRÉDIO MUNICIPAL CLERALDO ANDRADE
163;COLÉGIO POLIVALENTE DE MARAGOGIPE
252;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
254;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
231;PRÉDIO MUNICIPAL RECANTO VERDE
129;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
137;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
166;COLÉGIO POLIVALENTE DE MARAGOGIPE
129;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
126;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
230;PRÉDIO MUNICIPAL RECANTO VERDE
193;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
191;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
268;COLÉGIO CATARINA PARAGUAÇU
169;COLÉGIO POLIVALENTE DE MARAGOGIPE
141;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
253;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
142;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
162;COLÉGIO POLIVALENTE DE MARAGOGIPE
241;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
257;PRÉDIO MUNICIPAL CAMARÃO
135;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
138;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
152;COLÉGIO PLINIO PEREIRA
262;ESCOLA MUNICIPAL O BOM PASTOR
154;COLÉGIO PLINIO PEREIRA
229;PRÉDIO MUNICIPAL CORAÇÃO DE JESUS
211;ESCOLA ESTADUAL KLEBER PACHECO
229;PRÉDIO MUNICIPAL CORAÇÃO DE JESUS
160;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
152;COLÉGIO PLINIO PEREIRA
261;ESCOLA MUNICIPAL RUBEN GUERRA ARMEDE
